feature_group,model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,elapsed_time_mean,elapsed_time_std
base_only,BASELINE,320.7174837531882,138.3371637194616,259.3270916854167,126.17663395242863,3039507399963847.0,4569075175886904.0,-0.3223041490803723,1.0427193915515915,0.03217009999789298,0.008330733018940249
base_only,LGBM,325.99975090276877,74.1113074713243,258.3062770264485,65.99798756472728,1.1517739143683802e+16,1.0532993051504568e+16,-0.21347936527868935,0.5330323608738836,69.72205177999567,1.365401337930758
base_only,ARIMA,239.30492639962458,58.840329053901044,196.29049124728374,47.834112505819306,9258566414691812.0,1.274462186654687e+16,0.3176133914043632,0.3830202088028287,30.715160699991976,3.5820839872187333
base_only,NEURALPROPHET,245.55559146912438,50.33114268609424,204.94139307613727,47.753418594955086,9761777764008010.0,1.591970748315304e+16,0.293008381313563,0.35549721554777386,16.711453819996677,0.46863596184688117
custom_area_0,BASELINE,320.7174837531882,138.3371637194616,259.3270916854167,126.17663395242863,3039507399963847.0,4569075175886904.0,-0.3223041490803723,1.0427193915515915,0.03432297999970615,0.012634632081389098
custom_area_0,LGBM,199.04780096249084,34.59788425102272,154.3600996071105,28.52495433567391,6957047522631142.0,8708578380952093.0,0.5472106349037016,0.15814595011285826,79.7841636399855,3.670226602057059
custom_area_0,ARIMA,200.47205212346995,40.19447264146702,158.74834355256155,34.54031503111721,9873083514493590.0,1.319018983948649e+16,0.5306108107416284,0.21828026427242883,229.74507671999746,11.794815744298107
custom_area_0,NEURALPROPHET,260.6094114140625,215.47763493782554,260.6094114140625,215.47763493782554,0.21503136184730934,0.12181215072861336,,,22.639925419993233,0.2987453560255002
all_areas,BASELINE,320.7174837531882,138.3371637194616,259.3270916854167,126.17663395242863,3039507399963847.0,4569075175886904.0,-0.3223041490803723,1.0427193915515915,0.034221459995023906,0.01649203145832867
all_areas,LGBM,225.7025192116318,37.6903910388688,176.97305362529684,33.841768757128015,1.4439823984688106e+16,2.508419188886938e+16,0.41614236362969875,0.20966690198639742,87.10361094000982,3.1849270108432757
all_areas,ARIMA,215.6414800105719,43.01172046033457,174.75838427228473,35.947116504012676,1.113556329215909e+16,1.6948269013582548e+16,0.4577935178369398,0.24728992764083121,826.2583227600087,101.94734551404439
all_areas,NEURALPROPHET,339.53939798632814,206.86891107800238,339.53939798632814,206.86891107800238,0.3004955784316152,0.15893253681304775,,,40.73689762001159,2.372651442081018
